Honorific,Salutation,Post Nominals,Surname,First Name,Other Name,Preferred Name,Initials,Electorate,State,Political Party,Gender,Telephone,Fax,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Electorate Postal Address,Electorate Postal Suburb,Electorate Postal State,Electorate Postal Postcode,Label Address,Label Suburb,Label State,Label Postcode,Parliamentary Title,Ministerial Title
Mr,Mr,MP,Chandler-Mather,Max,,Max,M.,Griffith,QLD,AG,Male,(02) 6277 2150,,Unit 14,76 Old Cleveland Road,Greenslopes,QLD,4120,(07) 3397 1674,,,PO Box 737,Coorparoo,QLD,4151,,,,,,
Ms,Ms,MP,Chaney,Kate,Ella,Kate,K. E.,Curtin,WA,IND,Female,(02) 6277 4655,,Shop 98 Floreat Forum Shopping Centre,5 Howtree Place,Floreat,WA,6014,(08) 9388 0288,,,PO Box 186,Floreat,WA,6014,,,,,,
Dr,Dr,MP,Charlton,Andrew,Henry George,Andrew,A. H. G.,Parramatta,NSW,ALP,Male,(02) 6277 4635,,"Shops 1 & 2, 25 Smith St",,Parramatta,NSW,2150,(02) 9689 1455,,,PO Box 395,Parramatta,NSW,2124,,,,,,
Hon,Mr,MP,Chester,Darren,Jeffrey,Darren,D. J.,Gippsland,VIC,NATS,Male,(02) 6277 4728,,"Level 1, 89 Raymond Street",,Sale,VIC,3850,(03) 5144 6744,(03) 5144 3945,,PO Box 486,Sale,VIC,3853,,,,,,
Ms,Ms,MP,Chesters,Lisa,Marie,Lisa,L. M.,Bendigo,VIC,ALP,Female,(02) 6277 4657,,Cnr. Williamson & Myers Streets,,Bendigo,VIC,3550,(03) 5443 9055,(03) 5443 9736,,PO Box 338,Bendigo,VIC,3550,,,,,,
Hon,Mr,MP,Clare,Jason,Dean,,J. D.,Blaxland,NSW,ALP,Male,(02) 6277 7350,,"Suite 7 Level 1, 400 Chapel Road",,Bankstown,NSW,2200,(02) 9790 2466,,,PO Box 153,Bankstown,NSW,1885,,,,,,Minister for Education
Ms,Ms,MP,Claydon,Sharon,Catherine,Sharon,S. C.,Newcastle,NSW,ALP,Female,(02) 6277 4285,,427 Hunter Street,,Newcastle,NSW,2300,(02) 4926 1555,(02) 4926 1895,,427 Hunter Street,Newcastle,NSW,2300,,,,,Deputy Speaker,
Ms,Ms,MP,Coker,Elizabeth,Ann,Libby,E. A.,Corangamite,VIC,ALP,Female,(02) 6277 4363,,26/500-540 Torquay Road,,Armstrong Creek,VIC,3217,(03) 5261 7683,,,26/500-540 Torquay Road,Armstrong Creek,VIC,3217,,,,,,
Hon,Mr,MP,Coleman,David,Bernard,David,D. B.,Banks,NSW,LP,Male,(02) 6277 4501,,22 Revesby Place,,Revesby,NSW,2212,(02) 9771 3400,(02) 9773 4144,,PO Box 564,Revesby,NSW,2212,,,,,,
Hon,Ms,MP,Collins,Julie,Maree,,J. M.,Franklin,TAS,ALP,Female,(02) 6277 7610,,18 Ross Avenue,,Rosny Park,TAS,7018,(03) 6244 1222,,,PO Box 38,Rosny Park,TAS,7018,,,,,,"Minister for Housing Minister for Homelessness Minister for Small Business"
Mr,Mr,MP,Conaghan,Patrick,John,Pat,P. J.,Cowper,NSW,NATS,Male,(02) 6277 4446,,"Level 4, 41-47 Horton Street",,Port Macquarie,NSW,2444,(02) 6583 8387,,,"PO Box 345, Palm Court Centre",Port Macquarie,NSW,2444,,,,,,
Hon,Mr,MP,Conroy,Patrick,Martin,Pat,P. M.,Shortland,NSW,ALP,Male,(02) 6277 7840,,Suite 1A,571 Pacific Highway,Belmont,NSW,2280,(02) 4947 9546,(02) 4945 3764,,PO Box 499,Belmont,NSW,2280,,,,,,"Minister for Defence Industry Minister for International Development and the Pacific"
Hon,Mr,MP,Coulton,Mark,Maclean,,M. M.,Parkes,NSW,NATS,Male,(02) 6277 4068,,"Shop 3, 153 Brisbane Street",,Dubbo,NSW,2830,(02) 6882 0999,(02) 6882 9935,,"Shop 3, 153 Brisbane Street",Dubbo,NSW,2830,,,,,Chief Nationals Whip,
Ms,Ms,MP,Daniel,Zoe,,Zoe,Z.,Goldstein,VIC,IND,Female,(02) 6277 4664,,677 Nepean Highway,,Brighton East,VIC,3187,(03) 9557 4644,,,,,,,,,,,,
Hon,Mr,MP,Dick,Dugald,Milton,Milton,M. D.,Oxley,QLD,ALP,Male,(02) 6277 4000,,255 Forest Lake Boulevard,,Forest Lake,QLD,4078,(07) 3879 6440,(07) 3879 6441,,PO Box 4042,Forest Lake,QLD,4078,,,,,Speaker,
Hon,Mr,QC MP,Dreyfus,Mark,Alfred,Mark,M. A.,Isaacs,VIC,ALP,Male,(02) 6277 7300,,566 Main Street,,Mordialloc,VIC,3195,(03) 9580 4651,,,566 Main Street,Mordialloc,VIC,3195,,,,,,"Attorney-General Cabinet Secretary"
Hon,Mr,MP,Dutton,Peter,Craig,,P. C.,Dickson,QLD,LNP,Male,(02) 6277 4022,,3/199 Gympie Road,,Strathpine,QLD,4500,(07) 3205 9977,(07) 3205 5111,,PO Box 2012,Strathpine,QLD,4500,,,,,Leader of the Opposition,
Hon,Mrs,MP,Elliot,Maria,Justine,Justine,M. J.,Richmond,NSW,ALP,Female,(02) 6277 4554,,"Suite 6, Hallmark Centre, 107-111 Minjungbal Drive",,Tweed Heads South,NSW,2486,(07) 5523 4371,(07) 5523 4379,,PO Box 6996,Tweed Heads South,NSW,2486,,,,,,"Assistant Minister for Social Services Assistant Minister for the Prevention of Family Violence"
Hon,Mr,MP,Entsch,Warren,George,Warren,W. G.,Leichhardt,QLD,LNP,Male,(02) 6277 4803,,"Units 3 & 4, 200 Mulgrave Road",Westcourt,Cairns,QLD,4870,(07) 4051 2220,(07) 4031 1592,,PO Box 14,Bungalow,QLD,4870,,,,,,
Ms,Ms,MP,Fernando,Cassandra,Juanita,Cassandra,C. J.,Holt,VIC,ALP,Female,(02) 6277 4706,,"Shop 7, 1060 Thompsons Road",,Cranbourne West,VIC,3977,(03) 8790 0556,,,,,,,,,,,,
Hon,Mr,MP,Fletcher,Paul,William,Paul,P. W.,Bradfield,NSW,LP,Male,(02) 6277 4099,,"Suite 1, Level 2",280 Pacific Highway,Lindfield,NSW,2070,(02) 9465 3950,,,"Suite 1, Level 2,",Lindfield,NSW,2070,,,,,Manager of Opposition Business,
Dr,Dr,MP,Freelander,Michael,Randolph,Mike,M. R.,Macarthur,NSW,ALP,Male,(02) 6277 2311,,37 Queen Street,,Campbelltown,NSW,2560,(02) 4620 0293,(02) 4620 4414,,PO Box 88,Campbelltown,NSW,2560,,,,,,
Dr,Dr,MP,Garland,Carina,Mary Lindsay,Carina,C. M. L.,Chisholm,VIC,ALP,Female,(02) 6277 4713,,"Level 1, 140 Burwood Highway",,Burwood,VIC,3125,(03) 9808 3188,,,PO Box  102,Burwood,VIC,3125,,,,,,
Hon,Mr,MP,Gee,Andrew,Robert,Andrew,A. R.,Calare,NSW,NATS,Male,(02) 6277 4139,,Suite  1/179A Anson Street,,Orange,NSW,2800,(02) 6361 7138,(02) 6362 3480,,PO Box 673,Orange,NSW,2800,,,,,,
Mr,Mr,MP,Georganas,Steven,,Steve,S.,Adelaide,SA,ALP,Male,(02) 6277 4816,,161 Main North Road,,Nailsworth,SA,5083,(08) 8269 2433,(08) 8269 2488,,161 Main North Road,Nailsworth,SA,5083,,,,,,
Hon,Mr,MP,Giles,Andrew,James,Andrew,A. J.,Scullin,VIC,ALP,Male,(02) 6277 7770,,Shop 23-25,314-360 Childs Rd,Mill Park,VIC,3082,(03) 9404 1911,,,PO Box 167,Mill Park LPO,VIC,3082,,,,,,"Minister for Immigration, Citizenship and Multicultural Affairs"
Hon Dr,Dr,MP,Gillespie,David,Arthur,David,D. A.,Lyne,NSW,NATS,Male,(02) 6277 4172,,Shops 2 & 3,43 High Street,Wauchope,NSW,2446,(02) 6586 4462,(02) 6586 0934,,PO Box 244,Wauchope,NSW,2446,,,,,,
Mr,Mr,MP,Goodenough,Ian,Reginald,Ian,I. R.,Moore,WA,LP,Male,(02) 6277 4651,,"Suite 6, 129 Grand Boulevard",,Joondalup,WA,6027,(08) 9300 2244,(08) 9300 2245,,"Suite 6, 129 Grand Boulevard",Joondalup,WA,6027,,,,,Second Deputy Speaker,
Hon,Mr,MP,Gorman,Patrick,Possum,Patrick,P. P.,Perth,WA,ALP,Male,(02) 6277 4995,,953A Beaufort Street,,Inglewood,WA,6052,(08) 9272 3411,,,PO Box 901,Inglewood,WA,6932,,,,,,Assistant Minister to the Prime Minister
Mr,Mr,OAM MP,Gosling,Luke,John,Luke,L. J.,Solomon,NT,ALP,Male,(02) 6277 4933,,3/266 Trower Road,,Casuarina,NT,810,(08) 8928 0180,,,PO Box 43300,Casuarina,NT,810,,,,,,
Dr,Dr,MP,Haines,Helen,Mary,Helen,H. M,Indi,VIC,IND,Female,(02) 6277 4182,,117 Murphy Street,,Wangaratta,VIC,3677,(03) 5721 7077,,,117 Murphy Street,Wangaratta,VIC,3677,,,,,,
Mr,Mr,MP,Hamilton,Garth,Russell,Garth,G.,Groom,QLD,LNP,Male,(02) 6277 4630,,Ground Floor,516 Ruthven Street,Toowoomba,QLD,4350,(07) 4632 4144,,,PO Box 777,Toowoomba BC,QLD,4350,,,,,,
Hon,Mr,MP,Hastie,Andrew,William,Andrew,A. W.,Canning,WA,LP,Male,(02) 6277 4223,,Unit 2,61 Sutton Street,Mandurah,WA,6210,(08) 9534 8044,,,PO Box 968,Mandurah,WA,6210,,,,,,
Hon,Mr,MP,Hawke,Alexander,George,Alex,A. G.,Mitchell,NSW,LP,Male,(02) 6277 4202,,Suite 8,23 Terminus Street,Castle Hill,NSW,2154,(02) 9899 7211,,,PO Box 1173,Castle Hill,NSW,1765,,,,,,
Mr,Mr,MP,Hill,Julian,Christopher,Julian,J. C.,Bruce,VIC,ALP,Male,(02) 6277 2174,,45 Robinson Street,,Dandenong,VIC,3175,(03) 9791 7770,,,45 Robinson Street,Dandenong,VIC,3175,,,,,,
Hon,Mr,MP,Hogan,Kevin,John,Kevin,K. J.,Page,NSW,NATS,Male,(02) 6277 4746,,63 Molesworth Street,,Lismore,NSW,2480,(02) 6621 4044,(02) 6621 4255,,63 Molesworth Street,Lismore,NSW,2480,,,,,Deputy Manager of Opposition Business,
Hon,Mr,MP,Howarth,Luke,Ronald,Luke,L. R.,Petrie,QLD,LNP,Male,(02) 6277 4018,,40 Hornibrook Esplanade,,Clontarf,QLD,4019,(07) 3284 8008,(07) 3284 8002,,PO Box 321,Clontarf,QLD,4019,,,,,,
Hon,Mr,MP,Husic,Edham,Nurredin,Ed,E. N.,Chifley,NSW,ALP,Male,(02) 6277 7070,,"Shop 41, Plumpton Marketplace",Cnr Hyatts and Jersey Road,Plumpton,NSW,2761,(02) 9625 4344,(02) 9832 2641,,PO Box 589,Plumpton,NSW,2761,,,,,,Minister for Industry and Science
Hon,Mr,MP,Jones,Stephen,Patrick,Stephen,S. P.,Whitlam,NSW,ALP,Male,(02) 6277 7230,,Shop 244,Stockland Shellharbour,Shellharbour City Centre,NSW,2529,(02) 4297 2285,,,PO Box 264,Shellharbour City Centre,NSW,2529,,,,,,"Assistant Treasurer Minister for Financial Services"
Hon,Mr,MP,Joyce,Barnaby,Thomas Gerard,Barnaby,B. T. G.,New England,NSW,NATS,Male,(02) 6277 4214,,Suite 17,454-456 Peel Street,Tamworth,NSW,2340,(02) 6761 3080,,,PO Box 963,Tamworth,NSW,2340,,,,,,
Hon,Mr,MP,Katter,Robert,Carl,Bob,R. C.,Kennedy,QLD,KAP,Male,(02) 6277 4978,,Corner Edith and Owen Streets,,Innisfail,QLD,4860,(07) 4061 6066,(07) 4061 6566,,PO Box 1638,Innisfail,QLD,4860,,,,,,
Hon,Ms,MP,Kearney,Gerardine,Mary,Ged,G. M.,Cooper,VIC,ALP,Female,(02) 6277 4152,,159 High Street,,Preston,VIC,3072,(03) 9416 8690,,,159 High Street,Preston,VIC,3072,,,,,,Assistant Minister for Health and Aged Care
Hon,Mr,MP,Keogh,Matt,James,Matt,M. J.,Burt,WA,ALP,Male,(02) 6277 7820,,"Unit 2, 2808 Albany Highway",,Kelmscott,WA,6111,(08) 9390 0180,(08) 9390 0201,,PO Box 465,Kelmscott,WA,6991,,,,,,"Minister for Veterans' Affairs Minister for Defence Personnel"
Mr,Mr,MP,Khalil,Peter,,Peter,P.,Wills,VIC,ALP,Male,(02) 6277 4857,,1/240 Sydney Road,,Coburg,VIC,3058,(03) 9350 5777,,,1/240 Sydney Road,Coburg,VIC,3058,,,,,,
Hon,Ms,MP,King,Catherine,Fiona,,C. F.,Ballarat,VIC,ALP,Female,(02) 6277 7520,,5 Lydiard Street North,,Ballarat,VIC,3350,(03) 5338 8123,,,PO Box 719,Ballarat,VIC,3353,,,,,,"Minister for Infrastructure, Transport, Regional Development and Local Government"
Hon,Ms,MP,King,Madeleine,Mary Harvie,Madeleine,M. M. H.,Brand,WA,ALP,Female,(02) 6277 7930,,"Units 4 and 5, 95 Chalgrove Ave",,Rockingham,WA,6168,(08) 9527 9377,,,PO Box 5062,Rockingham Beach,WA,6969,,,,,,"Minister for Resources Minister for Northern Australia"
Hon,Ms,MP,Landry,Michelle,Leanne,Michelle,M. L.,Capricornia,QLD,LNP,Female,(02) 6277 4283,,3/71-73 Denham Street,,Rockhampton,QLD,4700,(07) 4922 6604,(07) 4922 6607,,PO Box 1919,Rockhampton,QLD,4700,,,,,,
Ms,Ms,MP,Lawrence,Tania,Natalie,Tania,T. N.,Hasluck,WA,ALP,Female,(02) 6277 4761,,"Unit 3, 28 Main Street",,Ellenbrook,WA,6069,(08) 6245 3340,,,"Unit 3, 28 Main Street",Ellenbrook,WA,6069,,,,,,
Mr,Mr,MP,Laxale,Jerome,Alexandre Alain,Jerome,J. A. A.,Bennelong,NSW,ALP,Male,(02) 6277 4847,,32 Beecroft Road,,Epping,NSW,2121,(02) 9869 4288,,,PO Box 872,Epping,NSW,2121,,,,,,
Ms,Ms,MP,Le,Dai,Trang,Dai,D. T.,Fowler,NSW,IND,Female,(02) 6277 4719,,Level 2,24-32 Hughes Street,Cabramatta,NSW,2166,(02) 9726 3988,,,PO Box 205,Cabramatta,NSW,2166,,,,,,
Mr,Mr,MP,Leeser,Julian,,Julian,J.,Berowra,NSW,LP,Male,(02) 6277 4826,,"Level 11, 423 Pennant Hills Road",,Pennant Hills,NSW,2120,(02) 9980 1822,(02) 9980 1833,,PO Box 743,Pennant Hills,NSW,1715,,,,,,
Hon Dr,Dr,MP,Leigh,Andrew,Keith,,A. K.,Fenner,ACT,ALP,Male,(02) 6277 4140,,Cnr Gungahlin Pl & Efkarpidis St,,Gungahlin,ACT,2912,(02) 6247 4396,(02) 6247 3457,,Cnr Gungahlin Pl & Efkarpidis St,Gungahlin,ACT,2912,,,,,,"Assistant Minister for Competition, Charities and Treasury"
Hon,Ms,MP,Ley,Sussan,Penelope,,S. P.,Farrer,NSW,LP,Female,(02) 6277 4225,,517 Kiewa Street,,Albury,NSW,2640,(02) 6021 3264,,1300 303 203,PO Box 672,Albury,NSW,2640,,,,,Deputy Leader of the Opposition,
Mr,Mr,MP,Lim,Sam,Bon Cheng,Sam,S. B. C.,Tangney,WA,ALP,Male,(02) 6277 4723,,6 Aveley Street,,Willetton,WA,6155,(08) 9354 9633,,,PO Box 329,Willetton,WA,6155,,,,,,
Hon,Mr,MP,Littleproud,David,,David,D.,Maranoa,QLD,LNP,Male,(02) 6277 4231,,"T40-42, Dalby Shopping World",17-67 Cunningham Street,Dalby,QLD,4405,(07) 4662 2715,,,PO Box 641,DALBY,QLD,4405,,,,,Leader of the Nationals,
Hon,Mrs,MP,Marino,Nola,Bethwyn,,N. B.,Forrest,WA,LP,Female,(02) 6277 4293,,Units 7 & 8 Grand Cinemas Complex,Corner of Victoria and Clifton Streets,Bunbury,WA,6230,(08) 9721 3788,(08) 9721 4911,,PO Box 2028,Bunbury,WA,6231,,,,,,
Hon,Mr,MP,Marles,Richard,Donald,,R. D.,Corio,VIC,ALP,Male,(02) 6277 7800,,17A Yarra Street,,Geelong,VIC,3220,(03) 5221 3033,(03) 5222 4505,,17A Yarra Street ,Geelong,VIC,3220,,,,,,"Deputy Prime Minister Minister for Defence"
Ms,Ms,MP,Mascarenhas,Zaneta,Felice Antoinetta,Zaneta,Z. F. A.,Swan,WA,ALP,Female,(02) 6277 4850,,"G3, 59 Albany Highway",,Victoria Park,WA,6101,(08) 9355 0099,,,PO Box 1060,Victoria Park,WA,6981,,,,,,
Hon,Ms,MP,McBain,Kristy,Louise,Kristy,K. L.,Eden-Monaro,NSW,ALP,Female,(02) 6277 7060,,1/21-25 Monaro Street,,Queanbeyan,NSW,2620,(02) 6284 2442,,,PO Box 214,Queanbeyan,NSW,2620,,,,,,"Minister for Regional Development, Local Government and Territories"
Hon,Ms,MP,McBride,Emma,Margaret,Emma,E. M.,Dobell,NSW,ALP,Female,(02) 6277 4515,,"Suite 204, Level 2 Mariners Centre of Excellence",1 Bryant Drive,Tuggerah,NSW,2259,(02) 4353 0127,(02) 4353 0248,,PO Box 3763,Tuggerah,NSW,2259,,,,,,"Assistant Minister for Mental Health and Suicide Prevention Assistant Minister for Rural and Regional Health"
Hon,Mr,MP,McCormack,Michael,Francis,Michael,M. F.,Riverina,NSW,NATS,Male,(02) 6277 4054,,Suite 2,11-15 Fitzmaurice Street,Wagga Wagga,NSW,2650,(02) 6921 4600,,,"Suite 2, 11-15 Fitzmaurice Street",Wagga Wagga,NSW,2650,,,,,,
Mrs,Mrs,MP,McIntosh,Melissa,Iris,Melissa,M. I.,Lindsay,NSW,LP,Female,(02) 6277 4492,,Ground Floor,331 High Street,Penrith,NSW,2750,(02) 4722 0600,,,PO Box 712,Penrith,NSW,2750,,,,,,
Ms,Ms,MP,McKenzie,Zoe,Anne,Zoe,Z. A.,Flinders,VIC,LP,Female,(02) 6277 4866,,1/49 Eramosa Road West,,Somerville,VIC,3912,(03) 5977 9082,,,PO Box 647,Somerville,VIC,3912,,,,,,
Ms,Ms,MP,Miller-Frost,Louise,Jane,Louise,L. J.,Boothby,SA,ALP,Female,(02) 6277 2116,,"Shop 2, 670 ANZAC Highway",,Glenelg,SA,5045,(08) 8374 0511,,,PO Box 570,Glenelg,SA,5045,,,,,,
Mr,Mr,MP,Mitchell,Brian,Keith,Brian,B. K.,Lyons,TAS,ALP,Male,(02) 6277 4270,,"Suite 105, Green Point Plaza",,Bridgewater,TAS,7030,(03) 6263 3721,,,PO Box 61,Bridgewater,TAS,7030,,,,,,
Mr,Mr,MP,Mitchell,Robert,George,Rob,R. G.,McEwen,VIC,ALP,Male,(02) 6277 4117,,57-59 High Street,,Wallan,VIC,3756,(03) 5716 3000,,1300 701 966,PO Box 380,Wallan,VIC,3756,,,,,,
Hon,Mr,MP,Morrison,Scott,John,Scott,S. J.,Cook,NSW,LP,Male,(02) 6277 4237,,"Suite 102, Level 1",30 The Kingsway,Cronulla,NSW,2230,(02) 9523 0339,,,PO Box 1306,Cronulla,NSW,2230,,,,,,
Dr,Dr,MP,Mulino,Daniel,,Daniel,D. ,Fraser,VIC,ALP,Male,(02) 6277 4311,,Shop M0004 80 Taylors Road,,Keilor Downs,VIC,3038,(03) 9070 1974,,,Shop M0004 80 Taylors Road,Keilor Downs,VIC,3038,,,,,,
Ms,Ms,MP,Murphy,Peta,Jan,Peta,P. J.,Dunkley,VIC,ALP,Female,(02) 6277 4370,,37 Playne Street,,Frankston,VIC,3199,(03) 9781 2333,,,37 Playne Street,Frankston,VIC,3199,,,,,,
Hon,Mr,MP,Neumann,Shayne,Kenneth,,S. K.,Blair,QLD,ALP,Male,(02) 6277 4755,,"Level 1, The Tarpaulin Building",2 The Terrace,North Ipswich,QLD,4305,(07) 3201 5300,,,PO Box 2579,North Ipswich LPO,QLD,4305,,,,,,
Mr,Mr,MP,O'Brien,Edward,Lynam,Ted,E. L.,Fairfax,QLD,LNP,Male,(02) 6277 4130,,17 Southern Drive,,Maroochydore,QLD,4558,(07) 5479 2800,(07) 5443 5333,,PO Box 1978,Sunshine Plaza,QLD,4558,,,,,,
Mr,Mr,MP,O'Brien,Llewellyn,Stephen,Llew,L. S.,Wide Bay,QLD,LNP,Male,(02) 6277 2301,,319 Kent Street,,Maryborough,QLD,4650,(07) 4121 2936,,,PO Box 283,Maryborough,QLD,4650,,,,,,
Hon,Mr,MP,O'Connor,Brendan,Patrick John,,B. P. J.,Gorton,VIC,ALP,Male,(02) 6277 7430,,"Shop 3, 11 Commercial Road",,Caroline Springs,VIC,3023,(03) 8390 6166,,,"Shop 3, 11 Commercial Road",Caroline Springs,VIC,3023,,,,,,Minister for Skills and Training
Hon,Ms,MP,O'Neil,Clare,Ellen,,C. E.,Hotham,VIC,ALP,Female,(02) 6277 7860,,401 Clayton Road,,Clayton,VIC,3168,(03) 9545 6211,(03) 9545 6299,,PO Box 5295,Clayton,VIC,3168,,,,,,"Minister for Home Affairs Minister for Cyber Security"
Mr,Mr,MP,Pasin,Antony,,Tony,A.,Barker,SA,LP,Male,(02) 6277 4864,,27 Commercial Street,,Mt Gambier,SA,5290,(08) 8724 7730,(08) 8723 2230,1300 723 935,27 Commercial Street,Mt Gambier,SA,5290,,,,,,
Ms,Ms,MP,Payne,Alicia,Emma,Alicia,A. E.,Canberra,ACT,ALP,Female,(02) 6277 4168,,221 London Circuit,,Canberra,ACT,2601,(02) 6247 8475,,,221 London Circuit,Canberra,ACT,2601,,,,,,
Mr,Mr,MP,Pearce,Gavin,Bruce,Gavin,G. B.,Braddon,TAS,LP,Male,(02) 6277 4432,,2/32 Wilmot Street,,Burnie,TAS,7320,(03) 6431 1333,,,PO Box 908,Burnie,TAS,7320,,,,,,
