electoratename,historicaldate,historicalnumberofvoters,currentmpname
Mayo,2/23/2021,12040458,Meredith Secret
McEwen,2/17/2017,11634232,Bennie Daley
McMahon,5/18/2019,14191716,Nadia Shepton
McPherson,5/26/2019,14662442,Devlen Devers
Melbourne,6/18/2017,10675224,Nesta Richold
Menzies,5/09/2020,10170707,Leif Brunone
Mitchell,2/16/2019,15784697,Anne Upston
Monash,6/07/2016,1993839,Jan Boaler
Moncrieff,1/18/2017,14889935,Adrea Stenson
Moore,11/11/2017,7930561,Yancy Rand
Moreton,7/14/2017,808206,Marje Heeks
New England,4/17/2018,11492044,Karlee Keinrat
Newcastle,12/25/2018,13882760,Riva Thorndycraft
Nicholls,2/07/2021,6891938,Theobald Glanders
North Sydney,2/15/2022,17208822,Hermione Jirousek
O'Connor,1/22/2021,7516981,Arman Bonellie
Oxley,4/20/2017,2957469,Gill Swedeland
Page,1/08/2018,12018976,Amber Swayne
Parkes,7/18/2016,5339701,Barbe Brailsford
Parramatta,5/25/2021,2924874,Sloan Pragnall
Paterson,7/17/2016,1574706,Amanda Bosward
Pearce,8/31/2021,12609901,Tris Lifton
Perth,10/07/2017,4980034,Alysa Spadollini
Petrie,10/27/2021,2907575,Ellie Witherdon
Rankin,1/18/2017,11103220,Cob Di Biasi
Reid,10/10/2017,1992334,Valli McKeggie
Richmond,7/11/2019,17011667,Arlin Tremeer
Riverina,10/15/2021,15951580,Corry Kleint
Robertson,6/27/2021,8351636,Brade Richardeau
Ryan,9/29/2019,4123762,Ronnie Pygott
Scullin,4/05/2017,1714388,Welch Andrieu
Shortland,12/04/2016,480305,Urson Giraudo
Solomon,6/14/2017,3410667,Stacy Phizacklea
Spence,3/12/2020,13123697,Abram McShee
Sturt,5/13/2019,543638,Tracie Haydney
Swan,3/07/2019,16173123,Camille Buckhurst
Sydney,8/10/2018,17088884,Mandi Peevor
Tangney,3/04/2021,17005247,Boyd Myrkus
Wannon,8/26/2019,1914970,Emili Cootes
Warringah,6/15/2019,3400865,Clyve Pautot
Watson,1/08/2019,4467890,Welsh Mousdall
Wentworth,11/11/2017,3320082,Cherilyn Batchelor
Werriwa,10/17/2018,11957932,Roscoe Howerd
Whitlam,3/07/2020,11937179,Star Grimstead
Wide Bay,11/23/2021,15890326,Nat Gare
Wills,1/28/2021,13952276,Angelique Dewsnap
Wright,1/30/2018,3776672,Cesar Menauteau
152,11/29/2019,8141374,Trudi Whimpenny
