ballotid,electionevent_electioneventid,electioncode,electoratename
149,20220521,1,Adelaide
150,20220521,1,Adelaide
151,20220521,1,Adelaide
152,20220521,1,Adelaide
153,20220521,1,Adelaide
154,20220521,1,Adelaide
155,20220521,1,Adelaide
156,20220521,1,Adelaide
157,20220521,1,Adelaide
158,20220521,1,Adelaide
159,20220521,1,Adelaide
160,20220521,1,Adelaide
161,20220521,1,Adelaide
162,20220521,1,Adelaide
163,20220521,1,Adelaide
164,20220521,1,Adelaide
165,20220521,1,Adelaide
166,20220521,1,Adelaide
167,20220521,1,Adelaide
168,20220521,1,Adelaide
169,20220521,1,Adelaide
170,20220521,1,Adelaide
171,20220521,1,Adelaide
172,20220521,1,Adelaide
173,20220521,1,Adelaide
174,20220521,1,Adelaide
175,20220521,1,Adelaide
176,20220521,1,Adelaide
177,20220521,1,Adelaide
178,20220521,1,Adelaide
179,20220521,1,Adelaide
180,20220521,1,Adelaide
181,20220521,1,Adelaide
182,20220521,1,Adelaide
183,20220521,1,Adelaide
184,20220521,1,Adelaide
185,20220521,1,Adelaide
186,20220521,1,Adelaide
187,20220521,1,Adelaide
188,20220521,1,Adelaide
189,20220521,1,Adelaide
190,20220521,1,Adelaide
191,20220521,1,Adelaide
192,20220521,1,Adelaide
193,20220521,1,Adelaide
194,20220521,1,Adelaide
195,20220521,1,Adelaide
196,20220521,1,Adelaide
197,20220521,1,Adelaide
198,20220521,1,Adelaide
199,20220521,1,Adelaide
200,20220521,1,Adelaide
201,20220521,1,Adelaide
202,20220521,1,Adelaide
203,20220521,1,Adelaide
204,20220521,1,Adelaide
205,20220521,1,Adelaide
206,20220521,1,Adelaide
207,20220521,1,Adelaide
208,20220521,1,Adelaide
209,20220521,1,Adelaide
210,20220521,1,Adelaide
211,20220521,1,Adelaide
212,20220521,1,Adelaide
213,20220521,1,Adelaide
214,20220521,1,Adelaide
215,20220521,1,Adelaide
216,20220521,1,Adelaide
217,20220521,1,Adelaide
218,20220521,1,Adelaide
219,20220521,1,Adelaide
220,20220521,1,Adelaide
221,20220521,1,Adelaide
222,20220521,1,Adelaide
223,20220521,1,Adelaide
224,20220521,1,Adelaide
225,20220521,1,Adelaide
226,20220521,1,Adelaide
227,20220521,1,Adelaide
228,20220521,1,Adelaide
229,20220521,1,Adelaide
230,20220521,1,Adelaide
231,20220521,1,Adelaide
232,20220521,1,Adelaide
233,20220521,1,Adelaide
234,20220521,1,Adelaide
235,20220521,1,Adelaide
236,20220521,1,Adelaide
237,20220521,1,Adelaide
238,20220521,1,Adelaide
239,20220521,1,Adelaide
240,20220521,1,Adelaide
241,20220521,1,Adelaide
242,20220521,1,Adelaide
243,20220521,1,Adelaide
244,20220521,1,Adelaide
245,20220521,1,Adelaide
246,20220521,1,Adelaide
247,20220521,1,Adelaide
248,20220521,1,Adelaide
249,20220521,1,Adelaide
250,20220521,1,Adelaide
251,20220521,1,Adelaide
252,20220521,1,Adelaide
253,20220521,1,Adelaide
254,20220521,1,Adelaide
255,20220521,1,Adelaide
256,20220521,1,Adelaide
257,20220521,1,Adelaide
258,20220521,1,Adelaide
259,20220521,1,Adelaide
260,20220521,1,Adelaide
261,20220521,1,Adelaide
262,20220521,1,Adelaide
263,20220521,1,Adelaide
264,20220521,1,Adelaide
265,20220521,1,Adelaide
266,20220521,1,Adelaide
267,20220521,1,Adelaide
268,20220521,1,Adelaide
269,20220521,1,Adelaide
270,20220521,1,Adelaide
271,20220521,1,Adelaide
272,20220521,1,Adelaide
273,20220521,1,Adelaide
274,20220521,1,Adelaide
275,20220521,1,Adelaide
276,20220521,1,Adelaide
277,20220521,1,Adelaide
278,20220521,1,Adelaide
279,20220521,1,Adelaide
280,20220521,1,Adelaide
281,20220521,1,Adelaide
282,20220521,1,Adelaide
283,20220521,1,Adelaide
284,20220521,1,Adelaide
285,20220521,1,Adelaide
286,20220521,1,Adelaide
287,20220521,1,Adelaide
288,20220521,1,Adelaide
289,20220521,1,Adelaide
290,20220521,1,Adelaide
291,20220521,1,Adelaide
292,20220521,1,Adelaide
293,20220521,1,Adelaide
294,20220521,1,Adelaide
295,20220521,1,Adelaide
296,20220521,1,Adelaide
297,20220521,1,Adelaide
298,20220521,1,Adelaide
299,20220521,1,Adelaide
300,20220521,1,Adelaide
301,20220521,1,Adelaide
302,20220521,1,Adelaide
303,20220521,1,Adelaide
304,20220521,1,Adelaide
305,20220521,1,Adelaide
306,20220521,1,Adelaide
307,20220521,1,Adelaide
308,20220521,1,Adelaide
309,20220521,1,Adelaide
310,20220521,1,Adelaide
311,20220521,1,Adelaide
312,20220521,1,Adelaide
313,20220521,1,Adelaide
314,20220521,1,Adelaide
315,20220521,1,Adelaide
316,20220521,1,Adelaide
317,20220521,1,Adelaide
318,20220521,1,Adelaide
319,20220521,1,Adelaide
320,20220521,1,Adelaide
321,20220521,1,Adelaide
322,20220521,1,Adelaide
323,20220521,1,Adelaide
324,20220521,1,Adelaide
325,20220521,1,Adelaide
326,20220521,1,Adelaide
327,20220521,1,Adelaide
328,20220521,1,Adelaide
329,20220521,1,Adelaide
330,20220521,1,Adelaide
331,20220521,1,Adelaide
332,20220521,1,Adelaide
333,20220521,1,Adelaide
334,20220521,1,Adelaide
335,20220521,1,Adelaide
336,20220521,1,Adelaide
337,20220521,1,Adelaide
338,20220521,1,Adelaide
339,20220521,1,Adelaide
340,20220521,1,Adelaide
341,20220521,1,Adelaide
342,20220521,1,Adelaide
343,20220521,1,Adelaide
344,20220521,1,Adelaide
345,20220521,1,Adelaide
346,20220521,1,Adelaide
347,20220521,1,Adelaide
348,20220521,1,Adelaide
349,20220521,1,Adelaide
350,20220521,1,Adelaide
351,20220521,1,Adelaide
352,20220521,1,Adelaide
353,20220521,1,Adelaide
354,20220521,1,Adelaide
355,20220521,1,Adelaide
356,20220521,1,Adelaide
357,20220521,1,Adelaide
358,20220521,1,Adelaide
359,20220521,1,Adelaide
360,20220521,1,Adelaide
361,20220521,1,Adelaide
362,20220521,1,Adelaide
363,20220521,1,Adelaide
364,20220521,1,Adelaide
365,20220521,1,Adelaide
366,20220521,1,Adelaide
367,20220521,1,Adelaide
368,20220521,1,Adelaide
369,20220521,1,Adelaide
370,20220521,1,Adelaide
371,20220521,1,Adelaide
372,20220521,1,Adelaide
373,20220521,1,Adelaide
374,20220521,1,Adelaide
375,20220521,1,Adelaide
376,20220521,1,Adelaide
377,20220521,1,Adelaide
378,20220521,1,Adelaide
379,20220521,1,Adelaide
380,20220521,1,Adelaide
381,20220521,1,Adelaide
382,20220521,1,Adelaide
383,20220521,1,Adelaide
384,20220521,1,Adelaide
385,20220521,1,Adelaide
386,20220521,1,Adelaide
387,20220521,1,Adelaide
388,20220521,1,Adelaide
389,20220521,1,Adelaide
390,20220521,1,Adelaide
391,20220521,1,Adelaide
392,20220521,1,Adelaide
393,20220521,1,Adelaide
394,20220521,1,Adelaide
395,20220521,1,Adelaide
396,20220521,1,Adelaide
397,20220521,1,Adelaide
398,20220521,1,Adelaide
399,20220521,1,Adelaide
400,20220521,1,Adelaide
401,20220521,1,Adelaide
402,20220521,1,Adelaide
403,20220521,1,Adelaide
404,20220521,1,Adelaide
405,20220521,1,Adelaide
406,20220521,1,Adelaide
407,20220521,1,Adelaide
408,20220521,1,Adelaide
409,20220521,1,Adelaide
410,20220521,1,Adelaide
411,20220521,1,Adelaide
412,20220521,1,Adelaide
413,20220521,1,Adelaide
414,20220521,1,Adelaide
415,20220521,1,Adelaide
416,20220521,1,Adelaide
417,20220521,1,Adelaide
418,20220521,1,Adelaide
419,20220521,1,Adelaide
420,20220521,1,Adelaide
421,20220521,1,Adelaide
422,20220521,1,Adelaide
423,20220521,1,Adelaide
424,20220521,1,Adelaide
425,20220521,1,Adelaide
426,20220521,1,Adelaide
427,20220521,1,Adelaide
428,20220521,1,Adelaide
429,20220521,1,Adelaide
430,20220521,1,Adelaide
431,20220521,1,Adelaide
432,20220521,1,Adelaide
433,20220521,1,Adelaide
434,20220521,1,Adelaide
435,20220521,1,Adelaide
436,20220521,1,Adelaide
437,20220521,1,Adelaide
438,20220521,1,Adelaide
439,20220521,1,Adelaide
440,20220521,1,Adelaide
441,20220521,1,Adelaide
442,20220521,1,Adelaide
443,20220521,1,Adelaide
444,20220521,1,Adelaide
445,20220521,1,Adelaide
446,20220521,1,Adelaide
447,20220521,1,Adelaide
448,20220521,1,Adelaide
449,20220521,1,Adelaide
450,20220521,1,Adelaide
451,20220521,1,Adelaide
452,20220521,1,Adelaide
453,20220521,1,Adelaide
454,20220521,1,Adelaide
455,20220521,1,Adelaide
456,20220521,1,Adelaide
457,20220521,1,Adelaide
458,20220521,1,Adelaide
459,20220521,1,Adelaide
460,20220521,1,Adelaide
461,20220521,1,Adelaide
462,20220521,1,Adelaide
463,20220521,1,Adelaide
464,20220521,1,Adelaide
465,20220521,1,Adelaide
466,20220521,1,Adelaide
467,20220521,1,Adelaide
468,20220521,1,Adelaide
469,20220521,1,Adelaide
470,20220521,1,Adelaide
471,20220521,1,Adelaide
472,20220521,1,Adelaide
473,20220521,1,Adelaide
474,20220521,1,Adelaide
475,20220521,1,Adelaide
476,20220521,1,Adelaide
477,20220521,1,Adelaide
478,20220521,1,Adelaide
479,20220521,1,Adelaide
480,20220521,1,Adelaide
481,20220521,1,Adelaide
482,20220521,1,Adelaide
483,20220521,1,Adelaide
484,20220521,1,Adelaide
485,20220521,1,Adelaide
486,20220521,1,Adelaide
487,20220521,1,Adelaide
488,20220521,1,Adelaide
489,20220521,1,Adelaide
490,20220521,1,Adelaide
491,20220521,1,Adelaide
492,20220521,1,Adelaide
493,20220521,1,Adelaide
494,20220521,1,Adelaide
495,20220521,1,Adelaide
496,20220521,1,Adelaide
497,20220521,1,Adelaide
498,20220521,1,Adelaide
499,20220521,1,Adelaide
500,20220521,1,Adelaide
501,20220521,1,Adelaide
502,20220521,1,Adelaide
503,20220521,1,Adelaide
504,20220521,1,Adelaide
505,20220521,1,Adelaide
506,20220521,1,Adelaide
507,20220521,1,Adelaide
508,20220521,1,Adelaide
509,20220521,1,Adelaide
510,20220521,1,Adelaide
511,20220521,1,Adelaide
512,20220521,1,Adelaide
513,20220521,1,Adelaide
514,20220521,1,Adelaide
515,20220521,1,Adelaide
516,20220521,1,Adelaide
517,20220521,1,Adelaide
518,20220521,1,Adelaide
519,20220521,1,Adelaide
520,20220521,1,Adelaide
521,20220521,1,Adelaide
522,20220521,1,Adelaide
523,20220521,1,Adelaide
524,20220521,1,Adelaide
525,20220521,1,Adelaide
526,20220521,1,Adelaide
527,20220521,1,Adelaide
528,20220521,1,Adelaide
529,20220521,1,Adelaide
530,20220521,1,Adelaide
531,20220521,1,Adelaide
532,20220521,1,Adelaide
533,20220521,1,Adelaide
534,20220521,1,Adelaide
535,20220521,1,Adelaide
536,20220521,1,Adelaide
537,20220521,1,Adelaide
538,20220521,1,Adelaide
539,20220521,1,Adelaide
540,20220521,1,Adelaide
541,20220521,1,Adelaide
542,20220521,1,Adelaide
543,20220521,1,Adelaide
544,20220521,1,Adelaide
545,20220521,1,Adelaide
546,20220521,1,Adelaide
547,20220521,1,Adelaide
548,20220521,1,Adelaide
549,20220521,1,Adelaide
550,20220521,1,Adelaide
551,20220521,1,Adelaide
552,20220521,1,Adelaide
553,20220521,1,Adelaide
554,20220521,1,Adelaide
555,20220521,1,Adelaide
556,20220521,1,Adelaide
557,20220521,1,Adelaide
558,20220521,1,Adelaide
559,20220521,1,Adelaide
560,20220521,1,Adelaide
561,20220521,1,Adelaide
562,20220521,1,Adelaide
563,20220521,1,Adelaide
564,20220521,1,Adelaide
565,20220521,1,Adelaide
566,20220521,1,Adelaide
567,20220521,1,Adelaide
568,20220521,1,Adelaide
569,20220521,1,Adelaide
570,20220521,1,Adelaide
571,20220521,1,Adelaide
572,20220521,1,Adelaide
573,20220521,1,Adelaide
574,20220521,1,Adelaide
575,20220521,1,Adelaide
576,20220521,1,Adelaide
577,20220521,1,Adelaide
578,20220521,1,Adelaide
579,20220521,1,Adelaide
580,20220521,1,Adelaide
581,20220521,1,Adelaide
582,20220521,1,Adelaide
583,20220521,1,Adelaide
584,20220521,1,Adelaide
585,20220521,1,Adelaide
586,20220521,1,Adelaide
587,20220521,1,Adelaide
588,20220521,1,Adelaide
589,20220521,1,Adelaide
590,20220521,1,Adelaide
591,20220521,1,Adelaide
592,20220521,1,Adelaide
593,20220521,1,Adelaide
594,20220521,1,Adelaide
595,20220521,1,Adelaide
596,20220521,1,Adelaide
597,20220521,1,Adelaide
598,20220521,1,Adelaide
599,20220521,1,Adelaide
600,20220521,1,Adelaide
601,20220521,1,Adelaide
602,20220521,1,Adelaide
603,20220521,1,Adelaide
604,20220521,1,Adelaide
605,20220521,1,Adelaide
606,20220521,1,Adelaide
607,20220521,1,Adelaide
608,20220521,1,Adelaide
609,20220521,1,Adelaide
610,20220521,1,Adelaide
611,20220521,1,Adelaide
612,20220521,1,Adelaide
613,20220521,1,Adelaide
614,20220521,1,Adelaide
615,20220521,1,Adelaide
616,20220521,1,Adelaide
617,20220521,1,Adelaide
618,20220521,1,Adelaide
619,20220521,1,Adelaide
620,20220521,1,Adelaide
621,20220521,1,Adelaide
622,20220521,1,Adelaide
623,20220521,1,Adelaide
624,20220521,1,Adelaide
625,20220521,1,Adelaide
626,20220521,1,Adelaide
627,20220521,1,Adelaide
628,20220521,1,Adelaide
629,20220521,1,Adelaide
630,20220521,1,Adelaide
631,20220521,1,Adelaide
632,20220521,1,Adelaide
633,20220521,1,Adelaide
634,20220521,1,Adelaide
635,20220521,1,Adelaide
636,20220521,1,Adelaide
637,20220521,1,Adelaide
638,20220521,1,Adelaide
639,20220521,1,Adelaide
640,20220521,1,Adelaide
641,20220521,1,Adelaide
642,20220521,1,Adelaide
643,20220521,1,Adelaide
644,20220521,1,Adelaide
645,20220521,1,Adelaide
646,20220521,1,Adelaide
647,20220521,1,Adelaide
648,20220521,1,Adelaide
649,20220521,1,Adelaide
650,20220521,1,Adelaide
651,20220521,1,Adelaide
652,20220521,1,Adelaide
653,20220521,1,Adelaide
654,20220521,1,Adelaide
655,20220521,1,Adelaide
656,20220521,1,Adelaide
657,20220521,1,Adelaide
658,20220521,1,Adelaide
659,20220521,1,Adelaide
660,20220521,1,Adelaide
661,20220521,1,Adelaide
662,20220521,1,Adelaide
663,20220521,1,Adelaide
664,20220521,1,Adelaide
665,20220521,1,Adelaide
666,20220521,1,Adelaide
667,20220521,1,Adelaide
668,20220521,1,Adelaide
669,20220521,1,Adelaide
670,20220521,1,Adelaide
671,20220521,1,Adelaide
672,20220521,1,Adelaide
673,20220521,1,Adelaide
674,20220521,1,Adelaide
675,20220521,1,Adelaide
676,20220521,1,Adelaide
677,20220521,1,Adelaide
678,20220521,1,Adelaide
679,20220521,1,Adelaide
680,20220521,1,Adelaide
681,20220521,1,Adelaide
682,20220521,1,Adelaide
683,20220521,1,Adelaide
684,20220521,1,Adelaide
685,20220521,1,Adelaide
686,20220521,1,Adelaide
687,20220521,1,Adelaide
688,20220521,1,Adelaide
689,20220521,1,Adelaide
690,20220521,1,Adelaide
691,20220521,1,Adelaide
692,20220521,1,Adelaide
693,20220521,1,Adelaide
694,20220521,1,Adelaide
695,20220521,1,Adelaide
696,20220521,1,Adelaide
697,20220521,1,Adelaide
698,20220521,1,Adelaide
699,20220521,1,Adelaide
700,20220521,1,Adelaide
701,20220521,1,Adelaide
702,20220521,1,Adelaide
703,20220521,1,Adelaide
704,20220521,1,Adelaide
705,20220521,1,Adelaide
706,20220521,1,Adelaide
707,20220521,1,Adelaide
708,20220521,1,Adelaide
709,20220521,1,Adelaide
710,20220521,1,Adelaide
711,20220521,1,Adelaide
712,20220521,1,Adelaide
713,20220521,1,Adelaide
714,20220521,1,Adelaide
715,20220521,1,Adelaide
716,20220521,1,Adelaide
717,20220521,1,Adelaide
718,20220521,1,Adelaide
719,20220521,1,Adelaide
720,20220521,1,Adelaide
721,20220521,1,Adelaide
722,20220521,1,Adelaide
723,20220521,1,Adelaide
724,20220521,1,Adelaide
725,20220521,1,Adelaide
726,20220521,1,Adelaide
727,20220521,1,Adelaide
728,20220521,1,Adelaide
729,20220521,1,Adelaide
730,20220521,1,Adelaide
731,20220521,1,Adelaide
732,20220521,1,Adelaide
733,20220521,1,Adelaide
734,20220521,1,Adelaide
735,20220521,1,Adelaide
736,20220521,1,Adelaide
737,20220521,1,Adelaide
738,20220521,1,Adelaide
739,20220521,1,Adelaide
740,20220521,1,Adelaide
741,20220521,1,Adelaide
742,20220521,1,Adelaide
743,20220521,1,Adelaide
744,20220521,1,Adelaide
745,20220521,1,Adelaide
746,20220521,1,Adelaide
747,20220521,1,Adelaide
748,20220521,1,Adelaide
749,20220521,1,Adelaide
750,20220521,1,Adelaide
751,20220521,1,Adelaide
752,20220521,1,Adelaide
753,20220521,1,Adelaide
754,20220521,1,Adelaide
755,20220521,1,Adelaide
756,20220521,1,Adelaide
757,20220521,1,Adelaide
758,20220521,1,Adelaide
759,20220521,1,Adelaide
760,20220521,1,Adelaide
761,20220521,1,Adelaide
762,20220521,1,Adelaide
763,20220521,1,Adelaide
764,20220521,1,Adelaide
765,20220521,1,Adelaide
766,20220521,1,Adelaide
767,20220521,1,Adelaide
768,20220521,1,Adelaide
769,20220521,1,Adelaide
770,20220521,1,Adelaide
771,20220521,1,Adelaide
772,20220521,1,Adelaide
773,20220521,1,Adelaide
774,20220521,1,Adelaide
775,20220521,1,Adelaide
776,20220521,1,Adelaide
777,20220521,1,Adelaide
778,20220521,1,Adelaide
779,20220521,1,Adelaide
780,20220521,1,Adelaide
781,20220521,1,Adelaide
782,20220521,1,Adelaide
783,20220521,1,Adelaide
784,20220521,1,Adelaide
785,20220521,1,Adelaide
786,20220521,1,Adelaide
787,20220521,1,Adelaide
788,20220521,1,Adelaide
789,20220521,1,Adelaide
790,20220521,1,Adelaide
791,20220521,1,Adelaide
792,20220521,1,Adelaide
793,20220521,1,Adelaide
794,20220521,1,Adelaide
795,20220521,1,Adelaide
796,20220521,1,Adelaide
797,20220521,1,Adelaide
798,20220521,1,Adelaide
799,20220521,1,Adelaide
800,20220521,1,Adelaide
801,20220521,1,Adelaide
802,20220521,1,Adelaide
803,20220521,1,Adelaide
804,20220521,1,Adelaide
805,20220521,1,Adelaide
806,20220521,1,Adelaide
807,20220521,1,Adelaide
808,20220521,1,Adelaide
809,20220521,1,Adelaide
810,20220521,1,Adelaide
811,20220521,1,Adelaide
812,20220521,1,Adelaide
813,20220521,1,Adelaide
814,20220521,1,Adelaide
815,20220521,1,Adelaide
816,20220521,1,Adelaide
817,20220521,1,Adelaide
818,20220521,1,Adelaide
819,20220521,1,Adelaide
820,20220521,1,Adelaide
821,20220521,1,Adelaide
822,20220521,1,Adelaide
823,20220521,1,Adelaide
824,20220521,1,Adelaide
825,20220521,1,Adelaide
826,20220521,1,Adelaide
827,20220521,1,Adelaide
828,20220521,1,Adelaide
829,20220521,1,Adelaide
830,20220521,1,Adelaide
831,20220521,1,Adelaide
832,20220521,1,Adelaide
833,20220521,1,Adelaide
834,20220521,1,Adelaide
835,20220521,1,Adelaide
836,20220521,1,Adelaide
837,20220521,1,Adelaide
838,20220521,1,Adelaide
839,20220521,1,Adelaide
840,20220521,1,Adelaide
841,20220521,1,Adelaide
842,20220521,1,Adelaide
843,20220521,1,Adelaide
844,20220521,1,Adelaide
845,20220521,1,Adelaide
846,20220521,1,Adelaide
847,20220521,1,Adelaide
848,20220521,1,Adelaide
849,20220521,1,Adelaide
850,20220521,1,Adelaide
851,20220521,1,Adelaide
852,20220521,1,Adelaide
853,20220521,1,Adelaide
854,20220521,1,Adelaide
855,20220521,1,Adelaide
856,20220521,1,Adelaide
857,20220521,1,Adelaide
858,20220521,1,Adelaide
859,20220521,1,Adelaide
860,20220521,1,Adelaide
861,20220521,1,Adelaide
862,20220521,1,Adelaide
863,20220521,1,Adelaide
864,20220521,1,Adelaide
865,20220521,1,Adelaide
866,20220521,1,Adelaide
867,20220521,1,Adelaide
868,20220521,1,Adelaide
869,20220521,1,Adelaide
870,20220521,1,Adelaide
871,20220521,1,Adelaide
872,20220521,1,Adelaide
873,20220521,1,Adelaide
874,20220521,1,Adelaide
875,20220521,1,Adelaide
876,20220521,1,Adelaide
877,20220521,1,Adelaide
878,20220521,1,Adelaide
879,20220521,1,Adelaide
880,20220521,1,Adelaide
881,20220521,1,Adelaide
882,20220521,1,Adelaide
883,20220521,1,Adelaide
884,20220521,1,Adelaide
885,20220521,1,Adelaide
886,20220521,1,Adelaide
887,20220521,1,Adelaide
888,20220521,1,Adelaide
889,20220521,1,Adelaide
890,20220521,1,Adelaide
891,20220521,1,Adelaide
892,20220521,1,Adelaide
893,20220521,1,Adelaide
894,20220521,1,Adelaide
895,20220521,1,Adelaide
896,20220521,1,Adelaide
897,20220521,1,Adelaide
898,20220521,1,Adelaide
899,20220521,1,Adelaide
900,20220521,1,Adelaide
901,20220521,1,Adelaide
902,20220521,1,Adelaide
903,20220521,1,Adelaide
904,20220521,1,Adelaide
905,20220521,1,Adelaide
906,20220521,1,Adelaide
907,20220521,1,Adelaide
908,20220521,1,Adelaide
909,20220521,1,Adelaide
910,20220521,1,Adelaide
911,20220521,1,Adelaide
912,20220521,1,Adelaide
913,20220521,1,Adelaide
914,20220521,1,Adelaide
915,20220521,1,Adelaide
916,20220521,1,Adelaide
917,20220521,1,Adelaide
918,20220521,1,Adelaide
919,20220521,1,Adelaide
920,20220521,1,Adelaide
921,20220521,1,Adelaide
922,20220521,1,Adelaide
923,20220521,1,Adelaide
924,20220521,1,Adelaide
925,20220521,1,Adelaide
926,20220521,1,Adelaide
927,20220521,1,Adelaide
928,20220521,1,Adelaide
929,20220521,1,Adelaide
930,20220521,1,Adelaide
931,20220521,1,Adelaide
932,20220521,1,Adelaide
933,20220521,1,Adelaide
934,20220521,1,Adelaide
935,20220521,1,Adelaide
936,20220521,1,Adelaide
937,20220521,1,Adelaide
938,20220521,1,Adelaide
939,20220521,1,Adelaide
940,20220521,1,Adelaide
941,20220521,1,Adelaide
942,20220521,1,Adelaide
943,20220521,1,Adelaide
944,20220521,1,Adelaide
945,20220521,1,Adelaide
946,20220521,1,Adelaide
947,20220521,1,Adelaide
948,20220521,1,Adelaide
949,20220521,1,Adelaide
950,20220521,1,Adelaide
951,20220521,1,Adelaide
952,20220521,1,Adelaide
953,20220521,1,Adelaide
954,20220521,1,Adelaide
955,20220521,1,Adelaide
956,20220521,1,Adelaide
957,20220521,1,Adelaide
958,20220521,1,Adelaide
959,20220521,1,Adelaide
960,20220521,1,Adelaide
961,20220521,1,Adelaide
962,20220521,1,Adelaide
963,20220521,1,Adelaide
964,20220521,1,Adelaide
965,20220521,1,Adelaide
966,20220521,1,Adelaide
967,20220521,1,Adelaide
968,20220521,1,Adelaide
969,20220521,1,Adelaide
970,20220521,1,Adelaide
971,20220521,1,Adelaide
972,20220521,1,Adelaide
973,20220521,1,Adelaide
974,20220521,1,Adelaide
975,20220521,1,Adelaide
976,20220521,1,Adelaide
977,20220521,1,Adelaide
978,20220521,1,Adelaide
979,20220521,1,Adelaide
980,20220521,1,Adelaide
981,20220521,1,Adelaide
982,20220521,1,Adelaide
983,20220521,1,Adelaide
984,20220521,1,Adelaide
985,20220521,1,Adelaide
986,20220521,1,Adelaide
987,20220521,1,Adelaide
988,20220521,1,Adelaide
989,20220521,1,Adelaide
990,20220521,1,Adelaide
991,20220521,1,Adelaide
992,20220521,1,Adelaide
993,20220521,1,Adelaide
994,20220521,1,Adelaide
995,20220521,1,Adelaide
996,20220521,1,Adelaide
