MCCID_GIS,the_geom,NAME,MCCID_STR,MAPLABEL,XDATE
96,"LINESTRING (144.959353066123 -37.842432282124, 144.959368041815 -37.842459885974, 144.960244239619 -37.843954036358, 144.960827550423 -37.84484067214, 144.961284787246 -37.845520648577, 144.961472944236 -37.845757146498, 144.962309246518 -37.846768538031, 144.962867593105 -37.84740621389, 144.963628217573 -37.848235713414, 144.963868490488 -37.848476870631, 144.964293640755 -37.848901797879, 144.964910441333 -37.849502598875, 144.965155778613 -37.849732555699, 144.96555473993 -37.850074263974, 144.966134774595 -37.850565814047, 144.966568646021 -37.850929897139, 144.967489284006 -37.851641755991, 144.968112373531 -37.852122756346, 144.970020547177 -37.853614257509, 144.970332365263 -37.853845352941, 144.970802676024 -37.854184514323, 144.971484435016 -37.854677192822, 144.972420128438 -37.85536294547, 144.972681573412 -37.855572705947, 144.973779100505 -37.856592288731, 144.975279473408 -37.857921126837, 144.976048500805 -37.858613319269, 144.977041984896 -37.859692656494)",CANTERBURY  RD,STREET_NAME_EXT_10000_Label,,20160122
12,"LINESTRING (144.988784456305 -37.824652355415, 144.996066781612 -37.825472693519)",SWAN  ST,STREET_NAME_EXT_10000_Label,,20160122
47,"LINESTRING (144.956881725521 -37.840507478756, 144.957477987288 -37.840653087123, 144.957828481638 -37.840747787314, 144.958376661114 -37.840929869143)",MADDEN  ST,STREET_NAME_EXT_10000_Label,,20160122
24,"LINESTRING (144.966659491765 -37.814029583212, 144.966391321124 -37.813446994254)",TIVOLI CENTRE,Arcade_Label,Tivoli Centre,20210528
38,"LINESTRING (144.951228017222 -37.830645929816, 144.951568874422 -37.83099480471, 144.951660854538 -37.831035475385, 144.951862988541 -37.831251703801)",ANN  ST,STREET_NAME_EXT_5000_Label,,20160122
217,"LINESTRING (144.974238052099 -37.802718922313, 144.975958415844 -37.802899634581)",HANOVER  ST,STREET_NAME_EXT_10000_Label,,20160122
15,"LINESTRING (144.986079067953 -37.841027576315, 144.989108373624 -37.841420887118)",LANG  ST,STREET_NAME_EXT_10000_Label,,20160122
209,"LINESTRING (144.974779109849 -37.79281316244, 144.974981526507 -37.79165071296)",STATION  ST,STREET_NAME_EXT_10000_Label,,20160122
12,"LINESTRING (144.988231771373 -37.838007868455, 144.991973927742 -37.838499004809)",STATION  ST,STREET_NAME_EXT_5000_Label,,20160122
9,"LINESTRING (144.969322232342 -37.787857077239, 144.970489586882 -37.787979770329)",SHAKESPEARE  ST,STREET_NAME_EXT_5000_Label,,20160122
55,"LINESTRING (144.988393001284 -37.827984693544, 144.990513877563 -37.828212466789, 144.990687621566 -37.828223093923, 144.991651634686 -37.828327657624, 144.991758146496 -37.828321811767, 144.992389790054 -37.828382388745, 144.99250092652 -37.828384282891, 144.993520333186 -37.82848648743)",KELSO  ST,STREET_NAME_EXT_10000_Label,,20160122
286,"LINESTRING (144.977594908275 -37.866105975417, 144.981260364207 -37.863939944988)",CLYDE  ST,STREET_NAME_EXT_10000_Label,,20160122
193,"LINESTRING (144.97355501715 -37.80678677697, 144.974856767705 -37.806923519204)",PRINCES  ST,STREET_NAME_EXT_10000_Label,,20160122
226,"LINESTRING (144.963938629796 -37.782460214015, 144.963555817024 -37.784832936229)",GARTON  STREET,Street_Label_15000,Garton  Street,20210923
263,"LINESTRING (144.948120452427 -37.843103595545, 144.95064497402 -37.844565249015)",BARRETT  ST,STREET_NAME_EXT_10000_Label,,20160122
81,"LINESTRING (144.966023363344 -37.803496187485, 144.96514078558 -37.803401912128)",ARGYLE  PLACE SOUTH,Street_Label_10000,Argyle  Place South,20210923
102,"LINESTRING (144.9879623135 -37.828981458323, 144.988257764728 -37.827152607395, 144.988502309199 -37.825675915461, 144.988685376399 -37.824616397391, 144.988788502376 -37.824019532602, 144.988911976049 -37.823354497729, 144.988974218771 -37.822819474271, 144.989524704287 -37.81946234982, 144.989543828263 -37.81932799699, 144.989584350351 -37.819073608419, 144.989596137677 -37.819037939157, 144.989721635229 -37.818143778318, 144.98981268408 -37.817663152419, 144.989825048293 -37.817612360373)",PUNT  ROAD,Street_Label_15000,Punt  Road,20210923
52,"LINESTRING (144.951838679724 -37.808245026971, 144.952326864938 -37.809113136439, 144.952455826141 -37.809365782141, 144.952872671033 -37.810208533391, 144.952989019273 -37.81046332752, 144.953386567358 -37.811313459151, 144.95346359852 -37.811481948812, 144.953860827188 -37.8123392953, 144.953978394454 -37.812592711008, 144.954353781734 -37.813402473674, 144.954401059339 -37.813504529382, 144.95476794212 -37.814295624739, 144.954886064012 -37.814554060603, 144.955258474366 -37.815361612159, 144.955297387765 -37.815447660682, 144.955670301566 -37.816259179433, 144.95578990765 -37.816512292586, 144.956148106098 -37.817308274926, 144.956206572285 -37.817438666898, 144.956567930816 -37.818229202036, 144.956684994768 -37.81848412838, 144.957066720976 -37.819310740695, 144.957146496683 -37.819477997692, 144.957484613425 -37.820207931014, 144.957613498121 -37.820484207544, 144.957891000814 -37.821085285517, 144.957932198034 -37.821183101501, 144.957966273268 -37.82128262688, 144.957993114868 -37.821383535647)",KING  STREET,Street_Label_15000,King  Street,20210923
9,"LINESTRING (144.962619565323 -37.798841590132, 144.962696604484 -37.798407478292)",PORTERS  LANE,Arcade_Label,Porters  Lane,20210528
117,"LINESTRING (144.982031971772 -37.816900830154, 144.981746057857 -37.818543072145)",JOLIMONT  TERRACE,Street_Label_10000,Jolimont  Terrace,20210923
91,"LINESTRING (144.947467776146 -37.794658219866, 144.947381980316 -37.794804824727, 144.947118581187 -37.795016084149)",LEEMING  PLACE,Street_Label_1000,Leeming  Place,20210923
169,"LINESTRING (144.9611651037 -37.828169049135, 144.965549086617 -37.837713757032)",MORAY  ST,STREET_NAME_EXT_10000_Label,,20160122
1234,"LINESTRING (144.951875510434 -37.821360443574, 144.950919979338 -37.820149865204, 144.950715533877 -37.819919610554, 144.949468950377 -37.818340386939)",AURORA  LANE,Street_Label_2000,Aurora  Lane,20210923
136,"LINESTRING (144.975332277096 -37.841815136788, 144.977027617298 -37.841431609041)",LEOPOLD  ST,STREET_NAME_EXT_10000_Label,,20160122
6,"LINESTRING (144.970460132326 -37.808815344353, 144.97056677345 -37.80905345395, 144.970832071908 -37.80897647479, 144.971095331606 -37.809548174403)",MADAME  BRUSSELS  LANE,Arcade_Label,Madame  Brussels  Lane,20210528
19,"LINESTRING (144.984317563577 -37.85066682803, 144.985863570881 -37.850876231803)",HIGH  ST,STREET_NAME_EXT_10000_Label,,20160122
244,"LINESTRING (144.935893629239 -37.841793177237, 144.940785693197 -37.836455917596)",STOKES  ST,STREET_NAME_EXT_10000_Label,,20160122
19,"LINESTRING (144.988838900351 -37.827686649883, 144.98918943688 -37.827717956741, 144.989335953861 -37.827737201107, 144.989921860573 -37.82779661906, 144.990564964404 -37.827875194291)",PARKINS  LA,STREET_NAME_EXT_5000_Label,,20160122
187,"LINESTRING (144.975194623846 -37.797183091961, 144.97677496149 -37.79734909398)",ARGYLE  ST,STREET_NAME_EXT_10000_Label,,20160122
285,"LINESTRING (144.978630592782 -37.866866644184, 144.981435528979 -37.865189407496)",HAVELOCK  ST,STREET_NAME_EXT_10000_Label,,20160122
454,"LINESTRING (144.972584903547 -37.813349409273, 144.972695054641 -37.813317537797)",PRIV,Street_Label_1000,Priv,20210923
123,"LINESTRING (144.990531133825 -37.815351721305, 144.991776043608 -37.815504799125)",FREEMAN  ST,STREET_NAME_EXT_10000_Label,,20160122
128,"LINESTRING (144.986197794538 -37.840488918315, 144.990176122275 -37.841011444919)",ALEXANDRA  ST,STREET_NAME_EXT_10000_Label,,20160122
466,"LINESTRING (144.967877946666 -37.808743921587, 144.967596929341 -37.808826485816)",BENNETTS  LANE,Street_Label_1000,Bennetts  Lane,20210923
870,"LINESTRING (144.980754928411 -37.835646551032, 144.980781960721 -37.835513281156)",PL5068,Street_Label_2000,PL5068,20210923
465,"LINESTRING (144.966871275122 -37.809041534091, 144.966945413928 -37.809019063626)",PRIV,Street_Label_1000,Priv,20210923
1236,"LINESTRING (144.939739219146 -37.814188193132, 144.940454871289 -37.815370614318)",DOEPEL  WAY,Street_Label_2000,Doepel  Way,20210923
880,"LINESTRING (144.982373887431 -37.837258217077, 144.982905598655 -37.834672947511)",CL1448,Street_Label_2000,CL1448,20210923
459,"LINESTRING (144.986194790363 -37.814059550505, 144.986268941923 -37.813633261444, 144.986276401215 -37.813591221939, 144.986349943652 -37.813161266286)",CL1742,Street_Label_2000,CL1742,20210923
100,"LINESTRING (144.94336549641 -37.801003979424, 144.943368222685 -37.800993070554, 144.943373706005 -37.800949508002, 144.943185151102 -37.800924840779)",PL5233,Street_Label_1000,PL5233,20210923
384,"LINESTRING (144.966534385964 -37.796681161841, 144.966678557746 -37.796697781642, 144.966637353577 -37.796925469439)",PH8023,Street_Label_1000,PH8023,20210923
354,"LINESTRING (144.980150664452 -37.834636562651, 144.980173492787 -37.834551049763)",PL5313,Street_Label_1000,PL5313,20210923
1235,"LINESTRING (144.943271257328 -37.824572778822, 144.943511241195 -37.824382423198)",SWINGING  BASIN  LANE,Street_Label_2000,Swinging  Basin  Lane,20210923
478,"LINESTRING (144.985715458419 -37.830581102547, 144.98592960268 -37.829594096121, 144.986398306839 -37.829655035876)",CL1659,Street_Label_2000,CL1659,20210923
119,"LINESTRING (144.981125737644 -37.817623001396, 144.980051029908 -37.817500894324)",PALMER  STREET,Street_Label_10000,Palmer  Street,20210923
29,"LINESTRING (144.963649830171 -37.813960963589, 144.963274781789 -37.813145265929)",GPO  LANE,Arcade_Label,GPO  Lane,20210528
255,"LINESTRING (144.948130074764 -37.837951094642, 144.950801285875 -37.838887105441)",TRIBE  ST,STREET_NAME_EXT_10000_Label,,20160122
5,"LINESTRING (144.952850230279 -37.815828762592, 144.952944020182 -37.815785061439, 144.952846688245 -37.815573907526)",WATERTANK  WAY,Arcade_Label,Watertank  Way,20210528
82,"LINESTRING (144.977999837159 -37.866551282152, 144.981583061091 -37.864442789222)",FAWKNER  ST,STREET_NAME_EXT_10000_Label,,20160122
68,"LINESTRING (144.955152216658 -37.777286698651, 144.955342955158 -37.776291021462)",DOLLMAN  ST,STREET_NAME_EXT_10000_Label,,20160122
24,"LINESTRING (144.949019322274 -37.847762131136, 144.949951045903 -37.846637912474)",BLEAKHOUSE  LA,STREET_NAME_EXT_5000_Label,,20160122
121,"LINESTRING (144.990972778212 -37.812898976516, 144.992199647756 -37.813037135327)",YORK  ST,STREET_NAME_EXT_10000_Label,,20160122
40,"LINESTRING (144.958989535315 -37.798842605357, 144.959074183711 -37.798146306087, 144.959082646319 -37.797745388235, 144.959126004271 -37.797425124896, 144.95920681431 -37.797355589119, 144.95978481122 -37.797400410184)",MEDICAL  ROAD,Arcade_Label,Medical  Road,20210528
353,"LINESTRING (144.945234046548 -37.805200141752, 144.947536340085 -37.805415631518)",SILK  PLACE,Street_Label_2000,Silk  Place,20210923
74,"LINESTRING (144.950883047037 -37.797781951878, 144.951024842471 -37.797784346959, 144.951050621586 -37.797766261893, 144.951064652853 -37.797670012561)",CL1637,Street_Label_1000,CL1637,20210923
13,"LINESTRING (144.936412929335 -37.790364562384, 144.935876593794 -37.790307909486, 144.935655153477 -37.790273220626, 144.929947574184 -37.789660298147)",PARSONS  STREET,Street_Label_15000,Parsons  Street,20210923
176,"LINESTRING (144.983144210952 -37.813855523173, 144.983587319396 -37.813905654021, 144.983635652308 -37.813910721741, 144.98540882879 -37.814112162389, 144.985744783133 -37.814147113422, 144.986144094686 -37.814192166111, 144.986197338392 -37.814197328486, 144.988009669995 -37.814401272369, 144.988350758605 -37.814440933975, 144.988692853546 -37.814478940097, 144.988734996636 -37.814483491764, 144.989941753986 -37.814619766359, 144.989982784627 -37.814625090727, 144.990298048389 -37.814663030696)",HOTHAM  STREET,Street_Label_15000,Hotham  Street,20210923
307,"LINESTRING (144.972036904064 -37.824647987535, 144.973609596136 -37.824379695462, 144.974531453792 -37.824287256442, 144.975413904338 -37.824272899848, 144.976966095961 -37.824299586917)",SOUTHERN  LINK  ROAD  (BURNLEY  TUNNEL),Street_Label_15000,Southern  Link  Road  (Burnley  Tunnel),20210923
471,"LINESTRING (144.976363626085 -37.835894262981, 144.976105558741 -37.835862442686, 144.976076526087 -37.835793830076)",CL1554,Street_Label_2000,CL1554,20210923
22,"LINESTRING (144.945756442306 -37.845656349257, 144.947297071825 -37.846468047791, 144.947486197125 -37.846565703459, 144.948542202284 -37.847129290423)",BEACONFIELD  LA,STREET_NAME_EXT_5000_Label,,20160122
79,"LINESTRING (144.978982535646 -37.860503201589, 144.978657399398 -37.860147501325, 144.980028430679 -37.859334888985, 144.980114383776 -37.859311026704, 144.980612817909 -37.859019748471, 144.980933992448 -37.859363106018)",LITTLE GREY  ST,STREET_NAME_EXT_5000_Label,,20160122
64,"LINESTRING (144.945010845477 -37.837378173437, 144.945350748605 -37.837003826915, 144.945444850014 -37.836945907299, 144.945979802257 -37.836625362546)",ESPLANADE  PL,STREET_NAME_EXT_5000_Label,,20160122
151,"LINESTRING (144.931487082338 -37.78816437322, 144.931689492782 -37.786898983627)",WELLINGTON  ST,STREET_NAME_EXT_10000_Label,,20160122
266,"LINESTRING (144.935957070312 -37.840081775817, 144.939419123366 -37.842090145788, 144.942023977195 -37.843592982114, 144.942244582955 -37.843735255494, 144.943079061404 -37.84423429651, 144.94382873416 -37.844642868966)",ROUSE  ST,STREET_NAME_EXT_10000_Label,,20160122
37,"LINESTRING (144.941915801779 -37.827120780441, 144.942193980852 -37.82613205299)",GITTUS  ST,STREET_NAME_EXT_10000_Label,,20160122
65,"LINESTRING (144.946208702855 -37.836501070012, 144.947642412621 -37.835664719232)",ESPLANADE  PL,STREET_NAME_EXT_5000_Label,,20160122
55,"LINESTRING (144.977129255388 -37.861995411415, 144.977372093889 -37.86226386951)",EILDON  CT,STREET_NAME_EXT_5000_Label,,20160122
336,"LINESTRING (144.954678291008 -37.829404739509, 144.954883443361 -37.828317708679)",WHITEMAN  ST,STREET_NAME_EXT_10000_Label,,20160122
36,"LINESTRING (144.951774204329 -37.830303815025, 144.952436426779 -37.83091440101)",GEORGE  ST,STREET_NAME_EXT_5000_Label,,20160122
34,"LINESTRING (144.915122264791 -37.83688869331, 144.916947058247 -37.836554974381)",WILLIAMSTOWN  RD,STREET_NAME_EXT_10000_Label,,20160122
20,"LINESTRING (144.952191977456 -37.824333637505, 144.950440481424 -37.824291968868, 144.948892494566 -37.82412614699)",DUKES  WALK,Street_Label_2000,Dukes  Walk,20210923
235,"LINESTRING (144.944554852288 -37.835339765236, 144.944913686852 -37.835540543869)",SPRING  ST  NORTH,STREET_NAME_EXT_10000_Label,,20160122
25,"LINESTRING (144.937088415508 -37.815692338694, 144.937750114647 -37.815440626349)",LEVEN  AVENUE,Street_Label_2000,Leven  Avenue,20210923
120,"LINESTRING (144.924746037042 -37.788782257424, 144.925556020422 -37.788281658641)",SERONG  STREET,Street_Label_2000,Serong  Street,20210923
932,"LINESTRING (144.93090005494 -37.801682203174, 144.929729917958 -37.801407221867, 144.928819822506 -37.801170520332, 144.928614426142 -37.801094989516)",LENNON  STREET,Street_Label_2000,Lennon  Street,20210923
1088,"LINESTRING (144.96906883949 -37.81292087272, 144.969335467321 -37.813507330425)",COROMANDEL  PLACE,Street_Label_2000,Coromandel  Place,20210923
641,"LINESTRING (144.96846716454 -37.796874368488, 144.967783361828 -37.796803372987)",ASTOR  PLACE,Street_Label_2000,Astor  Place,20210923
467,"LINESTRING (144.967467887503 -37.809373571026, 144.967560261536 -37.809346055632)",PL5155,Street_Label_1000,PL5155,20210923
307,"LINESTRING (144.988046181381 -37.83842429429, 144.988849101764 -37.834427160544, 144.988903491235 -37.834423309826, 144.989523178644 -37.834481697855, 144.989565770623 -37.834468083875, 144.989713966733 -37.834341542565, 144.989726932781 -37.83430830147, 144.99001866043 -37.832933798676)",CAROLINE  ST,STREET_NAME_EXT_10000_Label,,20160122
114,"LINESTRING (144.972986939749 -37.864520107893, 144.974799362801 -37.863457476148)",VICTORIA  ST,STREET_NAME_EXT_10000_Label,,20160122
88,"LINESTRING (144.965194999347 -37.852185847686, 144.966484139409 -37.853189810195, 144.966741328694 -37.853362542308, 144.968074371909 -37.854058723799, 144.968289111345 -37.854230720679)",NEVILLE  ST,STREET_NAME_EXT_5000_Label,,20160122
312,"LINESTRING (144.995318741404 -37.840990719448, 144.995422017384 -37.840487253175, 144.995594296272 -37.839596078592, 144.995650989161 -37.839326102305, 144.996155169584 -37.836851725894, 144.99654391648 -37.834991362783)",CHAPEL  ST,STREET_NAME_EXT_10000_Label,,20160122
28,"LINESTRING (144.955445392237 -37.850175659292, 144.956771594953 -37.850863478509)",ASHWORTH  ST,STREET_NAME_EXT_5000_Label,,20160122
290,"LINESTRING (144.945622209798 -37.79317075738, 144.945653051914 -37.793145224363, 144.945667969435 -37.793146822828, 144.945788328065 -37.79305043813)",PL5176,Street_Label_1000,PL5176,20210923
187,"LINESTRING (144.946172417995 -37.795317359785, 144.946280788471 -37.795330005229)",PL5200,Street_Label_1000,PL5200,20210923
744,"LINESTRING (144.972263129044 -37.812744287327, 144.972525292384 -37.813283997358, 144.972546723455 -37.813309638082, 144.97257480456 -37.813367449081)",RIDGWAY  PLACE,Street_Label_2000,Ridgway  Place,20210923
154,"LINESTRING (144.980970822074 -37.817913423445, 144.981074413873 -37.81792349508)",PL5042,Street_Label_1000,PL5042,20210923
387,"LINESTRING (144.98707820023 -37.812435784566, 144.98713054745 -37.81214350322)",WEELAM LANE,Street_Label_2000,Weelam  Lane,20210923
146,"LINESTRING (144.927897881985 -37.790601658543, 144.928545520647 -37.7906097839, 144.928684787512 -37.790601058805, 144.929317591422 -37.790509073405)",COOTE  STREET,Street_Label_2000,Coote  Street,20210923
418,"LINESTRING (144.975404430941 -37.811761944043, 144.975562237107 -37.810859051795)",PARLIAMENT  PLACE,Street_Label_2000,Parliament  Place,20210923
160,"LINESTRING (144.943142399203 -37.820904228, 144.94284476465 -37.820256698741)",SEAFARER  LANE,Street_Label_2000,Seafarer  Lane,20210923
546,"LINESTRING (144.950927275011 -37.800485072908, 144.95088734434 -37.800690275172)",ARDEN  LANE,Street_Label_2000,Arden  Lane,20210923
223,"LINESTRING (144.971110523661 -37.794986666012, 144.973149453203 -37.79520189254, 144.973490407987 -37.795233354461, 144.97422534818 -37.795312777972, 144.974455032487 -37.795338155091, 144.97513893412 -37.795411367294)",KAY  STREET,Street_Label_15000,Kay  Street,20210923
1159,"LINESTRING (144.967083891196 -37.814154171377, 144.96671717511 -37.813354684388)",ROYAL  LANE,Street_Label_2000,Royal  Lane,20210923
977,"LINESTRING (144.952396925278 -37.801901042438, 144.952422470914 -37.80175298904, 144.952415832542 -37.801752286047, 144.952477865926 -37.80138287136)",JACOBYS  LANE,Street_Label_2000,Jacobys  Lane,20210923
55,"LINESTRING (144.937107599417 -37.813628408523, 144.937592126917 -37.813498660059, 144.937775587348 -37.813449690037, 144.938441549811 -37.813271351297, 144.9386225107 -37.813222890397, 144.938995812182 -37.813122920915)",STUDIO  LANE,Street_Label_2000,Studio  Lane,20210923
243,"LINESTRING (144.945914497229 -37.803552880213, 144.945979216764 -37.8031901129, 144.946262890366 -37.803227493864, 144.946248261319 -37.803301956944, 144.94644548022 -37.803326911904)",ELM  PLACE,Street_Label_2000,Elm  Place,20210923
3,"LINESTRING (144.939334049234 -37.823153626289, 144.939869119173 -37.823275074071)",MILLS  PLACE,Street_Label_2000,Mills  Place,20210923
63,"LINESTRING (144.955670516689 -37.803156130899, 144.955701670392 -37.803054788347, 144.955790491142 -37.802550291797)",CAPEL  STREET,Street_Label_15000,Capel  Street,20210923
1007,"LINESTRING (144.954849597205 -37.815576460396, 144.955222782437 -37.816387947367)",COSGRAVE  LANE,Street_Label_2000,Cosgrave  Lane,20210923
101,"LINESTRING (144.970250446409 -37.832895775905, 144.970276710893 -37.8330538351, 144.970272061139 -37.833223484804, 144.970260427786 -37.833368766204, 144.970209568881 -37.833549742697, 144.970135273539 -37.833748499866, 144.970077930992 -37.833886931808, 144.969957923771 -37.834078838451, 144.969560999904 -37.834605428951, 144.96937200917 -37.834802206461, 144.969144454138 -37.835010442793, 144.968956459446 -37.835170867208, 144.968753336326 -37.83532496899, 144.968433857775 -37.835537679101, 144.968182109971 -37.835688513889, 144.967918312768 -37.835823380413, 144.96767828694 -37.835928348436, 144.967407674854 -37.836032787875, 144.966990950246 -37.836165012708)",PALMERSTON  CR,STREET_NAME_EXT_10000_Label,,20160122
178,"LINESTRING (144.96267135842 -37.779055093692, 144.963796852165 -37.779175021489)",LANG  ST,STREET_NAME_EXT_10000_Label,,20160122
371,"LINESTRING (144.993536157883 -37.839140420648, 144.994164249942 -37.836138849898, 144.994112238815 -37.83607843826, 144.993189176149 -37.835957828939)",CLAREMONT  ST,STREET_NAME_EXT_10000_Label,,20160122
186,"LINESTRING (144.975224492682 -37.796905414899, 144.976767151645 -37.797067458205)",HENRY  ST,STREET_NAME_EXT_10000_Label,,20160122
148,"LINESTRING (144.93325315878 -37.788324855667, 144.934490084602 -37.786618311903)",VICTORIA  ST,STREET_NAME_EXT_10000_Label,,20160122
317,"LINESTRING (144.994382379035 -37.83780096818, 144.99482148591 -37.837994034791, 144.995066785099 -37.838026764653, 144.995287692016 -37.838073355083, 144.995442451199 -37.838123577004, 144.995747640172 -37.838162083427)",DALY  ST,STREET_NAME_EXT_10000_Label,,20160122
30,"LINESTRING (144.961987935978 -37.792051741755, 144.961985075587 -37.792091200829, 144.962024748243 -37.792171986814, 144.961922965937 -37.792783381963, 144.961923309149 -37.792834366671, 144.961847872909 -37.793274261946)",MORRISON  CLOSE,Arcade_Label,Morrison  Close,20210528
325,"LINESTRING (144.951532434962 -37.848951295633, 144.959023698196 -37.842322258773)",KERFERD  RD,STREET_NAME_EXT_10000_Label,,20160122
321,"LINESTRING (144.982330381987 -37.860014466613, 144.980646271433 -37.858229313925, 144.980185648179 -37.857791583664, 144.97964044382 -37.857223347463, 144.979329556891 -37.856857512991, 144.978823536774 -37.856160182338)",PRINCES  ST,STREET_NAME_EXT_10000_Label,,20160122
16,"LINESTRING (144.988571647465 -37.839073194179, 144.988949925876 -37.83912691183)",MACFARLAN  PL,STREET_NAME_EXT_5000_Label,,20160122
61,"LINESTRING (144.947121676587 -37.827542754586, 144.950251975827 -37.830853025826, 144.951945646168 -37.832582494662)",MONTAGUE  ST,STREET_NAME_EXT_10000_Label,,20160122
38,"LINESTRING (144.996569455452 -37.834652378728, 144.996633388974 -37.833734252732, 144.996703364506 -37.83307443578, 144.996698716676 -37.832764509177, 144.996719561257 -37.832475672238, 144.996750359315 -37.832300617065, 144.996811176598 -37.831953322222)",CHURCH  ST,STREET_NAME_EXT_10000_Label,,20160122
81,"LINESTRING (144.974785854988 -37.859273727999, 144.975822443339 -37.858656268478)",FELIX  LA,STREET_NAME_EXT_5000_Label,,20160122
257,"LINESTRING (144.945262937611 -37.845998854039, 144.946309338661 -37.844749233442, 144.94661208716 -37.844437544744, 144.94794683906 -37.842969192189, 144.948990845449 -37.842651772083, 144.948999397571 -37.842649321211)",FOOTE  ST,STREET_NAME_EXT_10000_Label,,20160122
259,"LINESTRING (144.94921179391 -37.798005585787, 144.949067495198 -37.797891913664, 144.949067501617 -37.797881950373, 144.949087484516 -37.797866991009, 144.949153895338 -37.797813979672)",KERMODES  LANE,Street_Label_2000,Kermodes  Lane,20210923
68,"LINESTRING (144.972986939749 -37.864520107893, 144.974799362801 -37.863457476148)",VICTORIA  ST,STREET_NAME_EXT_5000_Label,,20160122
804,"LINESTRING (144.967341663375 -37.795290649791, 144.967320235354 -37.795423164186, 144.967306942742 -37.79544316532, 144.967301596831 -37.795473920403)",CHALLIS  LANE,Street_Label_2000,Challis  Lane,20210923
31,"LINESTRING (144.970257245703 -37.813235438096, 144.969881408855 -37.812424782807)",SOUTHERN  CROSS  LANE,Street_Label_2000,Southern  Cross  Lane,20210528
332,"LINESTRING (144.955400018601 -37.806731925816, 144.95534497974 -37.807031204056)",CL1037,Street_Label_2000,CL1037,20210923
52,"LINESTRING (144.915962936473 -37.839394865582, 144.917228489368 -37.839165940821, 144.918386367172 -37.839062636843)",THE BOULEVARD,STREET_NAME_EXT_10000_Label,,20160122
208,"LINESTRING (144.968803397856 -37.790878570587, 144.969977385816 -37.791002155959)",LEE  ST,STREET_NAME_EXT_10000_Label,,20160122
175,"LINESTRING (144.962941654622 -37.780106520443, 144.963736147134 -37.78007353947, 144.964876423785 -37.780199243234)",HOLTOM ST WEST,STREET_NAME_EXT_10000_Label,,20160122
